Person Chinese Name,Person Pinyin Name,Person Title,Person Branch,PBSC Chinese Name,PBSC Pinyin Name,Shared Anchor,Anchor Type,Binary Overlap,Episode Pair Count,Total Overlap Years,Max Continuous Overlap Years,Earliest Overlap Start,Latest Overlap End,Years From Last Overlap To 20th CC,Timing Bucket,Person Rank At Overlap,Person Career Stage At Overlap,PBSC Member Rank At Overlap,PBSC Member Career Stage At Overlap,Role Relationship,Context System Tags,Mechanical Confidence,Confidence Rationale,Manual Faction Label,Manual Faction Notes,Weighted Overlap Score,Person Biography Status,Person Episode Count,Person Data Quality,Person Is Baidu Gap,Sample Evidence
徐麟,Xu Lin,Secretary of the Guizhou Provincial Party Committee,Provincial committee,丁薛祥,Ding Xuexiang,上海,province/municipality,1,30,32,32,1982,2013,9,medium-term before 20th Congress,4,ministerial/provincial chief,4,ministerial/provincial chief,near-peer rank at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,57.5,matched_title,23,usable,,"上海 1982-1984: 1982-1984 上海市南汇县周浦中学教师、团委书记 ↔ 丁薛祥 1982-1984 上海材料研究所九室科研人员
上海 1984-1984: 1982-1984 上海市南汇县周浦中学教师、团委书记 ↔ 丁薛祥 1984-1988 上海材料研究所办公室副主任、团委书记
上海 1984-1984: 1984-1990 共青团上海市南汇县委副书记、书记，南汇县三墩乡党委书记，南汇县委政策研究室主任 ↔ 丁薛祥 1982-1984 上海材料研究所九室科研人员
上海 1984-1988: 1984-1990 共青团上海市南汇县委副书记、书记，南汇县三墩乡党委书记，南汇县委政策研究室主任 ↔ 丁薛祥 1984-1988 上海材料研究所办公室副主任、团委书记
上海 1988-1990: 1984-1990 共青团上海市南汇县委副书记、书记，南汇县三墩乡党委书记，南汇县委政策研究室主任 ↔ 丁薛祥 1988-1992 上海材料研究所办公室主任、宣传部主任"
徐麟,Xu Lin,Secretary of the Guizhou Provincial Party Committee,Provincial committee,李希,Li Xi,上海,province/municipality,1,4,4,4,2011,2014,8,medium-term before 20th Congress,4,ministerial/provincial chief,4,ministerial/provincial chief,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,8.0,matched_title,23,usable,,"上海 2011-2013: 2009-2013 上海市委常委、浦东新区区委书记 ↔ 李希 2011-2013 上海市委常委、组织部部长
上海 2013-2013: 2009-2013 上海市委常委、浦东新区区委书记 ↔ 李希 2013-2014 上海市委副书记，中国浦东干部学院理事会副理事长、第一副院长
上海 2013-2013: 2013-2015 上海市委常委、宣传部部长 ↔ 李希 2011-2013 上海市委常委、组织部部长
上海 2013-2014: 2013-2015 上海市委常委、宣传部部长 ↔ 李希 2013-2014 上海市委副书记，中国浦东干部学院理事会副理事长、第一副院长"
徐麟,Xu Lin,Secretary of the Guizhou Provincial Party Committee,Provincial committee,习近平,Xi Jinping,上海,province/municipality,1,3,1,1,2007,2007,15,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.25,matched_title,23,usable,,"上海 2007-2007: 2003-2007 上海市民政局党委书记、局长兼市社会团体管理局党组书记 ↔ 习近平 2007-2007 上海市委书记，上海警备区党委第一书记
上海 2007-2007: 2007-2007 上海市农业委员会主任、党组书记 ↔ 习近平 2007-2007 上海市委书记，上海警备区党委第一书记
上海 2007-2007: 2007-2008 上海市委常委（2007.05.28当选）兼市农业委员会主任、党组书记 ↔ 习近平 2007-2007 上海市委书记，上海警备区党委第一书记"
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,蔡奇,Cai Qi,浙江,province/municipality,1,5,6,6,1999,2004,18,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,High,same province/municipality with sustained or repeated overlapping career episodes,,,12.25,matched_title,18,usable,,"浙江 1999-1999: 1991-1999 新华通讯社浙江分社记者、农村采访室主任（其中，1995年5月被评为主任记者，1997年11月被评为高级记者） ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 1999-2001: 1999-2001 新华通讯社浙江分社采编室主任 ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 2001-2002: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 2002-2004: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 蔡奇 2002-2004 浙江省衢州市委书记、市人大常委会主任
浙江 2004-2004: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 蔡奇 2004-2007 浙江省台州市委书记"
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,丁薛祥,Ding Xuexiang,上海,province/municipality,1,12,9,9,2004,2012,10,medium-term before 20th Congress,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,,High,same province/municipality with sustained or repeated overlapping career episodes,,,18.5,matched_title,18,usable,,"上海 2004-2004: 2004-2005 新华通讯社上海分社副社长、总编辑、党组成员 ↔ 丁薛祥 2001-2004 上海市闸北区委副书记、代区长、区长
上海 2004-2005: 2004-2005 新华通讯社上海分社副社长、总编辑、党组成员 ↔ 丁薛祥 2004-2006 上海市委组织部副部长，市人事局局长、党组书记，市编办主任，市委党校副校长、校委会副主任，市行政学院副院长
上海 2005-2006: 2005-2006 新华通讯社上海分社副社长、总编辑、党组成员，新华社长三角新闻采编中心主任 ↔ 丁薛祥 2004-2006 上海市委组织部副部长，市人事局局长、党组书记，市编办主任，市委党校副校长、校委会副主任，市行政学院副院长
上海 2006-2006: 2005-2006 新华通讯社上海分社副社长、总编辑、党组成员，新华社长三角新闻采编中心主任 ↔ 丁薛祥 2006-2007 上海市委副秘书长、办公厅主任，市级机关工作党委书记
上海 2006-2006: 2006-2008 新华通讯社上海分社副社长、总编辑、党组副书记 ↔ 丁薛祥 2004-2006 上海市委组织部副部长，市人事局局长、党组书记，市编办主任，市委党校副校长、校委会副主任，市行政学院副院长"
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,李强,Li Qiang,浙江,province/municipality,1,14,16,16,1989,2004,18,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,High,same province/municipality with sustained or repeated overlapping career episodes,,,29.5,matched_title,18,usable,,"浙江 1989-1990: 1989-1990 新华通讯社浙江分社记者 ↔ 李强 1988-1990 浙江省民政厅农村救济处处长
浙江 1990-1990: 1989-1990 新华通讯社浙江分社记者 ↔ 李强 1990-1991 浙江省民政厅救灾救济处处长
浙江 1991-1991: 1991-1999 新华通讯社浙江分社记者、农村采访室主任（其中，1995年5月被评为主任记者，1997年11月被评为高级记者） ↔ 李强 1990-1991 浙江省民政厅救灾救济处处长
浙江 1991-1992: 1991-1999 新华通讯社浙江分社记者、农村采访室主任（其中，1995年5月被评为主任记者，1997年11月被评为高级记者） ↔ 李强 1991-1992 浙江省民政厅党组成员、人事处处长
浙江 1992-1996: 1991-1999 新华通讯社浙江分社记者、农村采访室主任（其中，1995年5月被评为主任记者，1997年11月被评为高级记者） ↔ 李强 1992-1996 浙江省民政厅副厅长、党组成员"
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,李希,Li Xi,上海,province/municipality,1,2,2,2,2011,2012,10,medium-term before 20th Congress,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,,Medium,same province/municipality with limited overlapping years,,,4.5,matched_title,18,usable,,"上海 2011-2012: 2010-2012 新华通讯社上海分社社长、党组书记，中国金融信息中心总经理 （其间：2010.07-2012.06，上海交通大学上海高级金融学院工商管理专业学习，获高级管理人员工商管理硕士学位） ↔ 李希 2011-2013 上海市委常委、组织部部长
上海 2012-2012: 2012-2012 新华通讯社副总编辑、党组成员，上海分社社长、党组书记 ↔ 李希 2011-2013 上海市委常委、组织部部长"
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,李希,Li Xi,广东,province/municipality,1,1,2,2,2017,2018,4,recent before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,4.25,matched_title,18,usable,,广东 2017-2018: 2015-2018 广东省委常委、宣传部部长 ↔ 李希 2017-2022 中央政治局委员，广东省委书记
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,习近平,Xi Jinping,上海,province/municipality,1,1,1,1,2007,2007,15,older overlap,3,vice-ministerial/provincial deputy,2,local/department leadership,connected individual senior/unclear at overlap,,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,18,usable,,上海 2007-2007: 2006-2008 新华通讯社上海分社副社长、总编辑、党组副书记 ↔ 习近平 2007-2007 上海市委书记，上海警备区党委第一书记
慎海雄,Shen Haixiong,"Vice Minister of the Publicity Department of the CPC Central Committee, Secretary of the Party Leadership Group, Director and Editor-in-Chief of China Media Group",Central Party apparatus,习近平,Xi Jinping,浙江,province/municipality,1,3,3,3,2002,2004,18,older overlap,2,local/department leadership,4,ministerial/provincial chief,PBSC member clearly senior at overlap,,Medium,same province/municipality with limited overlapping years,,,6.25,matched_title,18,usable,,"浙江 2002-2002: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 习近平 2002-2002 浙江省委副书记、代省长，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2002-2003: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 习近平 2002-2003 浙江省委书记、代省长，浙江省军区党委第一书记，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2003-2004: 2001-2004 新华通讯社浙江分社党组成员、常务副总编辑 ↔ 习近平 2003-2007 浙江省委书记、省人大常委会主任，浙江省军区党委第一书记"
易会满,Yi Huiman,Resident Deputy Director of the Economic Commission; Formerly Chairman of the China Securities Regulatory Commission,State Council,蔡奇,Cai Qi,浙江,province/municipality,1,1,2,2,1999,2000,22,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,Medium,same province/municipality with limited overlapping years,,,4.25,matched_title,18,usable,,浙江 1999-2000: 1998-2000 中国工商银行浙江省分行副行长兼浙江省分行营业部总经理 ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
易会满,Yi Huiman,Resident Deputy Director of the Economic Commission; Formerly Chairman of the China Securities Regulatory Commission,State Council,李强,Li Qiang,浙江,province/municipality,1,7,3,3,1998,2000,22,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,,High,same province/municipality with sustained or repeated overlapping career episodes,,,8.25,matched_title,18,usable,,"浙江 1998-1998: 1998-1998 中国工商银行浙江省分行副行长兼杭州市分行行长 ↔ 李强 1996-1998 浙江省金华市委常委、永康市委书记 （1995-1997年 浙江大学研究生课程进修班管理工程专业学习）
浙江 1998-1998: 1998-1998 中国工商银行浙江省分行副行长兼杭州市分行行长 ↔ 李强 1998-1998 浙江省金华市委常委，永康市委书记、市人大常委会主任
浙江 1998-1998: 1998-1998 中国工商银行浙江省分行副行长兼杭州市分行行长 ↔ 李强 1998-2000 浙江省政府办公厅副主任、党组成员
浙江 1998-1998: 1998-2000 中国工商银行浙江省分行副行长兼浙江省分行营业部总经理 ↔ 李强 1996-1998 浙江省金华市委常委、永康市委书记 （1995-1997年 浙江大学研究生课程进修班管理工程专业学习）
浙江 1998-1998: 1998-2000 中国工商银行浙江省分行副行长兼浙江省分行营业部总经理 ↔ 李强 1998-1998 浙江省金华市委常委，永康市委书记、市人大常委会主任"
易会满,Yi Huiman,Resident Deputy Director of the Economic Commission; Formerly Chairman of the China Securities Regulatory Commission,State Council,李强,Li Qiang,浙江大学,university/research,1,1,3,3,1995,1997,25,older overlap,2,local/department leadership,2,local/department leadership,near-peer rank at overlap,academia,Low,same university/research anchor is weaker evidence of factional connection,,,2.05,matched_title,18,usable,,浙江大学 1995-1997: 1994-1998 中国工商银行杭州市分行副行长（1997.07起主持工作）（1995.03-1997.02在浙江大学管理工程专业研究生班进修） ↔ 李强 1996-1998 浙江省金华市委常委、永康市委书记 （1995-1997年 浙江大学研究生课程进修班管理工程专业学习）
易炼红,Yi Lianhong,Deputy Director of the NPC Financial and Economic Committee,NPC,李希,Li Xi,辽宁,province/municipality,1,2,1,1,2017,2017,5,recent before 20th Congress,3,vice-ministerial/provincial deputy,5,national leadership,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.0,matched_title,24,usable,,"辽宁 2017-2017: 2017-2018 辽宁省委常委、沈阳市委书记 ↔ 李希 2015-2017 辽宁省委书记、省人大常委会主任
辽宁 2017-2017: 2017-2018 辽宁省委常委、沈阳市委书记 ↔ 李希 2017-2017 中央政治局委员，辽宁省委书记、省人大常委会主任"
景俊海,Jing Junhai,"Deputy Director of the Education, Science, Culture,  and Health Commitee of the National People's Congress",State Council,蔡奇,Cai Qi,北京,province/municipality,1,3,1,1,2017,2017,5,recent before 20th Congress,3,vice-ministerial/provincial deputy,5,national leadership,PBSC member clearly senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,3.25,matched_title,22,usable,,"北京 2017-2017: 2017-2017 北京市委副书记 ↔ 蔡奇 2016-2017 北京市委副书记、代市长、市长，北京2022年冬奥会和冬残奥会组织委员会执行主席、党组副书记
北京 2017-2017: 2017-2017 北京市委副书记 ↔ 蔡奇 2017-2017 北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记
北京 2017-2017: 2017-2017 北京市委副书记 ↔ 蔡奇 2017-2022 中央政治局委员，北京市委书记，北京2022年冬奥会和冬残奥会组织委员会主席、党组书记"
景俊海,Jing Junhai,"Deputy Director of the Education, Science, Culture,  and Health Commitee of the National People's Congress",State Council,李希,Li Xi,陕西,province/municipality,1,6,8,8,2004,2011,11,older overlap,4,ministerial/provincial chief,3,vice-ministerial/provincial deputy,connected individual senior/unclear at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,15.5,matched_title,22,usable,,"陕西 2004-2004: 2003-2004 陕西省西安高新区管委会主任、党工委书记，西安市科协副主席 ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2004-2005: 2004-2005 陕西省西安高新区管委会主任、党工委副书记，西安市科协副主席 ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2005-2005: 2005-2005 陕西省西安市委常委，西安高新区管委会主任、党工委副书记，市科协副主席 ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2005-2006: 2005-2008 陕西省西安市委常委，西安高新区管委会主任、党工委书记 ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2006-2008: 2005-2008 陕西省西安市委常委，西安高新区管委会主任、党工委书记 ↔ 李希 2006-2011 陕西省委常委、延安市委书记 （其间：2007-2009年 兼任延安市人大常委会主任；2008-2011年 清华大学经济管理学院高级管理人员工商管理专业学习，获高级管理人员工商管理硕士学位）"
景俊海,Jing Junhai,"Deputy Director of the Education, Science, Culture,  and Health Commitee of the National People's Congress",State Council,赵乐际,Zhao Leji,陕西,province/municipality,1,6,6,6,2007,2012,10,medium-term before 20th Congress,4,ministerial/provincial chief,4,ministerial/provincial chief,near-peer rank at overlap,provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,12.5,matched_title,22,usable,,"陕西 2007-2008: 2005-2008 陕西省西安市委常委，西安高新区管委会主任、党工委书记 ↔ 赵乐际 2007-2008 陕西省委书记
陕西 2008-2008: 2005-2008 陕西省西安市委常委，西安高新区管委会主任、党工委书记 ↔ 赵乐际 2008-2012 陕西省委书记、省人大常委会主任
陕西 2008-2008: 2008-2012 陕西省副省长 （其间：2011.03-2011.04 中央党校省部级干部进修班学习） ↔ 赵乐际 2007-2008 陕西省委书记
陕西 2008-2012: 2008-2012 陕西省副省长 （其间：2011.03-2011.04 中央党校省部级干部进修班学习） ↔ 赵乐际 2008-2012 陕西省委书记、省人大常委会主任
陕西 2012-2012: 2012-2012 陕西省委常委、宣传部部长，副省长 ↔ 赵乐际 2008-2012 陕西省委书记、省人大常委会主任"
曲青山,Qu Qingshan,President of CCP History and Literature Research Institute,Central Party apparatus,赵乐际,Zhao Leji,青海,province/municipality,1,36,29,22,1974,2007,15,older overlap,4,ministerial/provincial chief,4,ministerial/provincial chief,near-peer rank at overlap,academia; party_center; provincial,High,same province/municipality with sustained or repeated overlapping career episodes,Y,Qinghai,59.5,matched_title,18,usable,,"青海 1974-1975: 1973-1975 青海省 贵德县 东沟乡 上兰角村知青； ↔ 赵乐际 1974-1975 青海省贵德县河东乡贡巴大队知青
青海 1975-1975: 1973-1975 青海省 贵德县 东沟乡 上兰角村知青； ↔ 赵乐际 1975-1977 青海省商业厅通讯员
青海 1975-1975: 1975-1978 青海省土产杂品公司团委书记； ↔ 赵乐际 1974-1975 青海省贵德县河东乡贡巴大队知青
青海 1975-1977: 1975-1978 青海省土产杂品公司团委书记； ↔ 赵乐际 1975-1977 青海省商业厅通讯员
青海 1982-1982: 1982-1984 青海省机床铸造厂办公室干部； ↔ 赵乐际 1980-1982 青海省商业厅政治处干事，省商业学校教师、校团委书记"
李书磊,Li Shulei,Minister of Publicity Department of the CPC Central Committee,Central Party apparatus,蔡奇,Cai Qi,北京,province/municipality,1,1,1,1,2016,2016,6,medium-term before 20th Congress,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,2.75,matched_title,25,usable,,北京 2016-2016: 2015-2016 北京市委常委、市纪委书记 ↔ 蔡奇 2016-2017 北京市委副书记、代市长、市长，北京2022年冬奥会和冬残奥会组织委员会执行主席、党组副书记
李书磊,Li Shulei,Minister of Publicity Department of the CPC Central Committee,Central Party apparatus,李希,Li Xi,陕西,province/municipality,1,2,3,3,2004,2006,16,older overlap,3,vice-ministerial/provincial deputy,3,vice-ministerial/provincial deputy,near-peer rank at overlap,provincial,Medium,same province/municipality with limited overlapping years,,,6.0,matched_title,25,usable,,"陕西 2004-2006: 2002-2008 中央党校校务委员会委员、培训部主任（其间：2004.02-2006.01挂职任陕西省西安市委副书记） ↔ 李希 2004-2006 陕西省委常委、秘书长
陕西 2006-2006: 2002-2008 中央党校校务委员会委员、培训部主任（其间：2004.02-2006.01挂职任陕西省西安市委副书记） ↔ 李希 2006-2011 陕西省委常委、延安市委书记 （其间：2007-2009年 兼任延安市人大常委会主任；2008-2011年 清华大学经济管理学院高级管理人员工商管理专业学习，获高级管理人员工商管理硕士学位）"
李书磊,Li Shulei,Minister of Publicity Department of the CPC Central Committee,Central Party apparatus,赵乐际,Zhao Leji,北京大学,university/research,1,1,3,3,1978,1980,42,older overlap,1,education/early career,1,education/early career,near-peer rank at overlap,academia,Low,same university/research anchor is weaker evidence of factional connection,,,2.05,matched_title,25,usable,,北京大学 1978-1980: 1978-1982 北京大学图书馆学系图书馆学专业学习 ↔ 赵乐际 1977-1980 北京大学哲学系哲学专业学习
李小新（女）,Li Xiaoxin (Nv),Deputy Director of CCP Organization Department,Central Party apparatus,赵乐际,Zhao Leji,中央组织部,central party organ,1,2,6,6,2012,2017,5,recent before 20th Congress,4,ministerial/provincial chief,5,national leadership,PBSC member likely senior at overlap,party_center,High,same named central organization with sustained or repeated overlap,,,10.9,matched_title,5,partial,,"中央组织部 2012-2017: 2000-2017 先后任中央组织部干部一局青年干部处处长、党建研究所（党建研究杂志社）副主编、组织局副局长、组织二局局长、组织一局局长。 ↔ 赵乐际 2012-2017 中央政治局委员、中央书记处书记，中央组织部部长
中央组织部 2017-2017: 2017-2017 02月，任中央组织部部务委员（副部长级）兼组织一局局长（2018年5月兼任国务院扶贫开发领导小组副组长）。 ↔ 赵乐际 2012-2017 中央政治局委员、中央书记处书记，中央组织部部长"
李屹,Li Yi,Party Secretary of China Federation of Literary and Art Circles,State Council,赵乐际,Zhao Leji,中国社会科学院,university/research,1,1,3,3,1996,1998,24,older overlap,3,vice-ministerial/provincial deputy,3,vice-ministerial/provincial deputy,near-peer rank at overlap,academia; party_center; provincial,Low,same university/research anchor is weaker evidence of factional connection,,,2.05,matched_title,13,usable,,中国社会科学院 1996-1998: 1995-1999 新疆维吾尔自治区党委办公厅副主任 （其间：1996.09-1997.01，在 中央党校 进修二班学习；1996.12-1998.11，在 中国社会科学院研究生院 财贸经济系货币银行专业在职学习；1998.05-1998.11，在中央办公厅督察室挂职助理巡视员） ↔ 赵乐际 1997-1999 青海省委副书记、西宁市委书记（1996-1998年中国社会科学院研究生院货币银行专业研究生课程班学习；1998.09-1999.01中央党校省部级干部进修班学习）
李邑飞,Li Yifei, Party Secretary of Ningxi,Central Party apparatus,李希,Li Xi,清华大学,university/research,1,1,1,1,2008,2008,14,older overlap,3,vice-ministerial/provincial deputy,3,vice-ministerial/provincial deputy,near-peer rank at overlap,academia,Low,same university/research anchor is weaker evidence of factional connection,,,0.85,matched_title,27,usable,,清华大学 2008-2008: 2006-2009 云南省迪庆州委副书记（2006.03-2008.01清华大学公共管理学院公共管理专业学习，获公共管理硕士学位；2007.12明确为正厅级；2008.04-2008.12挂职任国家开发银行信贷局副局长） ↔ 李希 2006-2011 陕西省委常委、延安市委书记 （其间：2007-2009年 兼任延安市人大常委会主任；2008-2011年 清华大学经济管理学院高级管理人员工商管理专业学习，获高级管理人员工商管理硕士学位）
李邑飞,Li Yifei, Party Secretary of Ningxi,Central Party apparatus,赵乐际,Zhao Leji,中国社会科学院,university/research,1,1,3,3,1996,1998,24,older overlap,2,local/department leadership,3,vice-ministerial/provincial deputy,PBSC member likely senior at overlap,academia; provincial,Medium,same university/research anchor plus seniority relationship,,,3.05,matched_title,27,usable,,中国社会科学院 1996-1998: 1996-1998 云南省劳动厅职业安全卫生监察处副处长（其间：1996.12-1998.11中国社会科学院研究生院财贸经济系商业经济专业在职硕士研究生课程班学习，1997.03-1997.07云南省委党校中青年干部培训班学习） ↔ 赵乐际 1997-1999 青海省委副书记、西宁市委书记（1996-1998年中国社会科学院研究生院货币银行专业研究生课程班学习；1998.09-1999.01中央党校省部级干部进修班学习）
楼阳生,Lou Yangsheng,Former Party Chief of Henan Province (retired),,蔡奇,Cai Qi,浙江,province/municipality,1,12,11,11,1999,2009,13,older overlap,4,ministerial/provincial chief,3,vice-ministerial/provincial deputy,connected individual senior/unclear at overlap,academia; cppcc_npc; provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,21.5,matched_title,32,usable,,"浙江 1999-1999: 1996-1999 共青团浙江省委书记、党组书记 （1994.09-1997.06 浙江大学 工商管理学院工商管理专业在职研究生学习，获工商管理硕士学位；1998.11-1999.06 浙江省赴美国休斯顿大学经济管理研究班学习） ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 1999-2002: 1999-2002 浙江省金华市委副书记、政法委书记 （正厅级） 、市委党校校长 ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 2002-2002: 1999-2002 浙江省金华市委副书记、政法委书记 （正厅级） 、市委党校校长 ↔ 蔡奇 2002-2004 浙江省衢州市委书记、市人大常委会主任
浙江 2002-2002: 2002-2003 浙江省金华市委副书记、市长 ↔ 蔡奇 1999-2002 浙江省衢州市委副书记、市长 （1998-2001年 福建师范大学 经济法律学院政治经济学专业博士研究生班学习，获经济学博士学位）
浙江 2002-2003: 2002-2003 浙江省金华市委副书记、市长 ↔ 蔡奇 2002-2004 浙江省衢州市委书记、市人大常委会主任"
楼阳生,Lou Yangsheng,Former Party Chief of Henan Province (retired),,李强,Li Qiang,浙江,province/municipality,1,41,31,28,1976,2009,13,older overlap,4,ministerial/provincial chief,3,vice-ministerial/provincial deputy,connected individual senior/unclear at overlap,academia; cppcc_npc; provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,58.75,matched_title,32,usable,,"浙江 1976-1977: 1976-1978 浙江省浦江县知青 ↔ 李强 1976-1977 浙江省瑞安县马屿区机电排灌站职工 （其间：1977.04-1977.10 借调瑞安县路线教育工作队驻江溪公社分队工作）
浙江 1977-1978: 1976-1978 浙江省浦江县知青 ↔ 李强 1977-1978 浙江省瑞安县工具三厂职工
浙江 1982-1983: 1982-1984 浙江省龙游县龙游中学教师 ↔ 李强 1982-1983 浙江省瑞安县莘塍区团委负责人
浙江 1983-1984: 1982-1984 浙江省龙游县龙游中学教师 ↔ 李强 1983-1984 共青团浙江省瑞安县委干部
浙江 1984-1984: 1982-1984 浙江省龙游县龙游中学教师 ↔ 李强 1984-1984 共青团浙江省瑞安县委书记"
楼阳生,Lou Yangsheng,Former Party Chief of Henan Province (retired),,李强,Li Qiang,浙江大学,university/research,1,1,3,3,1995,1997,25,older overlap,4,ministerial/provincial chief,2,local/department leadership,connected individual senior/unclear at overlap,academia; provincial,Medium,same university/research anchor plus seniority relationship,,,3.05,matched_title,32,usable,,浙江大学 1995-1997: 1996-1999 共青团浙江省委书记、党组书记 （1994.09-1997.06 浙江大学 工商管理学院工商管理专业在职研究生学习，获工商管理硕士学位；1998.11-1999.06 浙江省赴美国休斯顿大学经济管理研究班学习） ↔ 李强 1996-1998 浙江省金华市委常委、永康市委书记 （1995-1997年 浙江大学研究生课程进修班管理工程专业学习）
楼阳生,Lou Yangsheng,Former Party Chief of Henan Province (retired),,习近平,Xi Jinping,浙江,province/municipality,1,10,6,6,2002,2007,15,older overlap,3,vice-ministerial/provincial deputy,4,ministerial/provincial chief,PBSC member likely senior at overlap,cppcc_npc; provincial,High,same province/municipality with sustained or repeated overlapping career episodes,,,13.5,matched_title,32,usable,,"浙江 2002-2002: 1999-2002 浙江省金华市委副书记、政法委书记 （正厅级） 、市委党校校长 ↔ 习近平 2002-2002 浙江省委副书记、代省长，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2002-2002: 1999-2002 浙江省金华市委副书记、政法委书记 （正厅级） 、市委党校校长 ↔ 习近平 2002-2003 浙江省委书记、代省长，浙江省军区党委第一书记，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2002-2002: 2002-2003 浙江省金华市委副书记、市长 ↔ 习近平 2002-2002 浙江省委副书记、代省长，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2002-2003: 2002-2003 浙江省金华市委副书记、市长 ↔ 习近平 2002-2003 浙江省委书记、代省长，浙江省军区党委第一书记，南京军区国防动员委员会副主任，浙江省国防动员委员会主任
浙江 2003-2003: 2002-2003 浙江省金华市委副书记、市长 ↔ 习近平 2003-2007 浙江省委书记、省人大常委会主任，浙江省军区党委第一书记"
